"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.4985,0.5423,0.5503,0.585,0.5347,0.6049,0.5396,0.5993,0.5161,0.4345,0.5788
"2",0.5267,0.5581,0.528,0.504,0.5072,0.5411,0.5264,0.566,0.6287,0.5316,0.5235
"3",0.5187,0.5101,0.5337,0.5347,0.5328,0.5116,0.5565,0.5148,0.5388,0.5999,0.5468
"4",0.5593,0.5205,0.5097,0.5252,0.5165,0.5243,0.5548,0.5076,0.5694,0.4937,0.4976
"5",0.4845,0.5472,0.5128,0.5255,0.4199,0.5758,0.5886,0.5329,0.5012,0.515,0.5638
"6",0.5635,0.5233,0.4275,0.4619,0.5172,0.5321,0.4785,0.5544,0.5004,0.6113,0.5127
"7",0.4544,0.4291,0.5547,0.4617,0.5561,0.5307,0.4948,0.5656,0.5352,0.5382,0.4706
"8",0.5282,0.5199,0.5079,0.4892,0.523,0.5308,0.5467,0.5083,0.4863,0.492,0.582
"9",0.5201,0.6073,0.5157,0.5354,0.5092,0.4653,0.5176,0.5369,0.5646,0.5503,0.5279
"10",0.4843,0.5862,0.5312,0.544,0.6119,0.5211,0.5721,0.5333,0.4913,0.5204,0.5804
"11",0.5131,0.547,0.455,0.5671,0.5082,0.4434,0.5003,0.5466,0.5501,0.5188,0.5254
