"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",0.3243,0.3137,0.3136,0.3083,0.302,0.2811,0.2644,0.2302,0.193,0.1146,0
"2",0.8902,0.877,0.8536,0.8273,0.7874,0.7691,0.7088,0.6207,0.5064,0.3461,0
"3",0.9327,0.9144,0.8945,0.8706,0.8381,0.8004,0.7612,0.6742,0.5485,0.3705,0
"4",0.9363,0.9187,0.8955,0.8751,0.8514,0.7876,0.7408,0.6636,0.5605,0.3729,0
"5",0.9384,0.9208,0.8978,0.8786,0.839,0.7955,0.7389,0.6845,0.5751,0.4039,0
"6",0.9343,0.9197,0.9004,0.8797,0.8551,0.7864,0.7353,0.6762,0.5725,0.4371,0
"7",0.9323,0.9097,0.8898,0.8862,0.825,0.8001,0.7419,0.6706,0.6032,0.4001,0
"8",0.9327,0.9194,0.8935,0.8625,0.8437,0.7988,0.7408,0.7102,0.57,0.3731,0
"9",0.9275,0.9197,0.8913,0.8615,0.8624,0.7838,0.7627,0.6785,0.5527,0.368,0
"10",0.925,0.9236,0.8951,0.8788,0.8292,0.8138,0.7417,0.6791,0.559,0.3592,0
"11",0.9228,0.9188,0.8925,0.8573,0.8437,0.8059,0.7447,0.7345,0.5727,0.3581,0
